Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10uF,C_0805_2012Metric,46.736,-183.642,270,top
C2,10uF,C_0805_2012Metric,49.022,-183.642,270,top
C3,10uF,C_0805_2012Metric,51.308,-183.642,270,top
C4,0.1uF,C_0402_1005Metric,53.086,-183.642,270,top
C5,1uF,C_0402_1005Metric,40.64,-52.578,0,top
C6,1uF,C_0402_1005Metric,48.26,-52.578,0,top
C7,1uF,C_0402_1005Metric,55.88,-52.578,0,top
C8,1uF,C_0402_1005Metric,63.5,-52.578,0,top
C9,1uF,C_0402_1005Metric,71.12,-52.578,0,top
C10,1uF,C_0402_1005Metric,78.74,-52.578,0,top
C11,1uF,C_0402_1005Metric,86.36,-52.5664,0,top
C12,1uF,C_0402_1005Metric,93.98,-52.5664,0,top
C13,1uF,C_0402_1005Metric,101.6,-52.5664,0,top
C14,1uF,C_0402_1005Metric,109.22,-52.5664,0,top
C15,1uF,C_0402_1005Metric,116.84,-52.5664,0,top
C16,1uF,C_0402_1005Metric,124.46,-52.5664,0,top
C17,1uF,C_0402_1005Metric,132.08,-52.5664,0,top
C18,1uF,C_0402_1005Metric,139.7,-52.5664,0,top
C19,1uF,C_0402_1005Metric,147.32,-52.5664,0,top
C20,1uF,C_0402_1005Metric,154.94,-52.5664,0,top
C21,1uF,C_0402_1005Metric,162.56,-52.5664,0,top
C22,1uF,C_0402_1005Metric,170.18,-52.5664,0,top
C23,1uF,C_0402_1005Metric,177.8,-52.578,0,top
C24,1uF,C_0402_1005Metric,185.42,-52.578,0,top
C25,1uF,C_0402_1005Metric,193.04,-52.578,0,top
C26,1uF,C_0402_1005Metric,200.66,-52.578,0,top
C27,1uF,C_0402_1005Metric,208.28,-52.578,0,top
C28,1uF,C_0402_1005Metric,215.9,-52.578,0,top
C29,1uF,C_0402_1005Metric,223.52,-52.578,0,top
C30,10uF,C_0805_2012Metric,333.121,-173.609,90,top
C31,10uF,C_0805_2012Metric,335.153,-173.609,90,top
C32,10uF,C_0805_2012Metric,337.439,-173.609,90,top
C33,0.1uF,C_0402_1005Metric,339.217,-173.609,90,top
C34,1uF,C_0402_1005Metric,231.14,-52.578,0,top
C35,1uF,C_0402_1005Metric,238.76,-52.578,0,top
C36,1uF,C_0402_1005Metric,246.38,-52.578,0,top
C37,1uF,C_0402_1005Metric,254,-52.578,0,top
C38,1uF,C_0402_1005Metric,261.62,-52.578,0,top
C39,1uF,C_0402_1005Metric,269.24,-52.578,0,top
C40,1uF,C_0402_1005Metric,276.86,-52.578,0,top
C41,1uF,C_0402_1005Metric,284.48,-52.578,0,top
C42,1uF,C_0402_1005Metric,292.1,-52.578,0,top
C43,1uF,C_0402_1005Metric,299.72,-52.578,0,top
C44,1uF,C_0402_1005Metric,307.34,-52.578,0,top
C45,1uF,C_0402_1005Metric,314.96,-52.578,0,top
C46,1uF,C_0402_1005Metric,322.58,-52.578,0,top
C47,1uF,C_0402_1005Metric,330.2,-52.578,0,top
C48,1uF,C_0402_1005Metric,337.82,-52.578,0,top
C49,1uF,C_0402_1005Metric,40.64,-60.198,0,top
C50,1uF,C_0402_1005Metric,48.26,-60.198,0,top
C51,1uF,C_0402_1005Metric,55.88,-60.198,0,top
C52,1uF,C_0402_1005Metric,63.5,-60.198,0,top
C53,1uF,C_0402_1005Metric,71.12,-60.198,0,top
C54,1uF,C_0402_1005Metric,78.74,-60.198,0,top
C55,1uF,C_0402_1005Metric,86.36,-60.198,0,top
C56,1uF,C_0402_1005Metric,93.98,-60.198,0,top
C57,1uF,C_0402_1005Metric,101.6,-60.198,0,top
C58,1uF,C_0402_1005Metric,109.22,-60.198,0,top
C59,1uF,C_0402_1005Metric,116.84,-60.198,0,top
C60,1uF,C_0402_1005Metric,124.46,-60.198,0,top
C61,1uF,C_0402_1005Metric,132.08,-60.198,0,top
C62,1uF,C_0402_1005Metric,139.7,-60.198,0,top
C63,1uF,C_0402_1005Metric,147.32,-60.198,0,top
C64,1uF,C_0402_1005Metric,154.94,-60.198,0,top
C65,1uF,C_0402_1005Metric,162.56,-60.198,0,top
C66,1uF,C_0402_1005Metric,170.18,-60.198,0,top
C67,1uF,C_0402_1005Metric,177.8,-60.198,0,top
C68,1uF,C_0402_1005Metric,185.42,-60.198,0,top
C69,1uF,C_0402_1005Metric,193.04,-60.198,0,top
C70,1uF,C_0402_1005Metric,200.66,-60.198,0,top
C71,1uF,C_0402_1005Metric,208.28,-60.198,0,top
C72,1uF,C_0402_1005Metric,215.9,-60.198,0,top
C73,1uF,C_0402_1005Metric,223.52,-60.198,0,top
C74,1uF,C_0402_1005Metric,231.14,-60.198,0,top
C75,1uF,C_0402_1005Metric,238.76,-60.198,0,top
C76,1uF,C_0402_1005Metric,246.38,-60.198,0,top
C77,1uF,C_0402_1005Metric,254,-60.198,0,top
C78,1uF,C_0402_1005Metric,261.62,-60.198,0,top
C79,1uF,C_0402_1005Metric,269.24,-60.198,0,top
C80,1uF,C_0402_1005Metric,276.86,-60.198,0,top
