Comment,Designator,Footprint,JLCPCB Part #（optional）
ESP32-PICO-D4,U1,"QFN-48_EP_7.0x7.0x0.5P
","C193707
"
2.2uF,"C1, C2, C3, C37, C39, C40, ",0603,"C23630
"
0.1uF,"C4, C5, C6, C7, C8, C13, C14, C19, C23, C24, C36, C38, ",0402,"C1525
"
22uF,"C9, C10, C11, C12, ",0603,"C59461
"
1uF,"C15, ",0402,C52923
0.01uF,"C16, C17, ",0402,C15195
4.7uF,"C18, ",0603,C19666
10uF,"C20, C21, C22, C32, C33, C34, C35, ",0805,"C440198

"
22uF,"C25, C26, C27, C28, ",1206,C1934
0.47uF,"C31, ",0805,C13967
2.7pF,"C41, ",0402,"C1561
"
10k,"R3, R4, R8, R9, R10, R12, R13, ",0402,"C25744
"
4.7k,"R5, R6, R7, R11, ",0402,"C25900
"
5.1k,"R14, R15, ",0402,"C25905
"
330,"R18, R19, R20, R28, R30, ",0402,"C25104
"
100k,"R22, R27, R29, ",0402,"C25741
"
22k,"R24, ",0402,"C25768
"
0,"R1, R2, R16, R17, ",0402,C17168
