Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,162.433,-98.679,180,top
C2,2.2uF,C_0603_1608Metric,161.29,-94.488,270,top
C3,2.2uF,C_0603_1608Metric,174.117,-93.218,270,top
C4,0.1uF,C_0402_1005Metric,163.0045,-97.3455,180,top
C5,0.1uF,C_0402_1005Metric,172.847,-92.71,270,top
C6,0.1uF,C_0402_1005Metric,162.687,-93.853,270,top
C7,0.1uF,C_0402_1005Metric,215.138,-95.758,0,top
C8,0.1uF,C_0402_1005Metric,215.265,-83.566,0,top
C9,22uF,C_0603_1608Metric,117.710572,-89.678,270,top
C10,22uF,C_0603_1608Metric,119.234572,-89.678,270,top
C11,22uF,C_0603_1608Metric,120.758572,-89.678,270,top
C12,22uF,C_0603_1608Metric,122.282572,-89.678,270,top
C13,0.1uF,C_0402_1005Metric,116.440572,-89.17,270,top
C14,0.1uF,C_0402_1005Metric,177.292,-95.377,270,top
C15,1uF,C_0402_1005Metric,177.292,-101.854,270,top
C16,0.01uF,C_0402_1005Metric,235.458,-101.092,270,top
C17,0.01uF,C_0402_1005Metric,240.538,-101.092,270,top
C18,4.7uF,C_0603_1608Metric,153.924,-87.63,270,top
C19,0.1uF,C_0402_1005Metric,152.5905,-87.0585,270,top
C20,10uF,C_0805_2012Metric,151.529428,-96.885,0,top
C21,10uF,C_0805_2012Metric,151.529428,-94.853,0,top
C22,10uF,C_0805_2012Metric,143.528428,-96.885,180,top
C23,0.1uF,C_0402_1005Metric,141.224,-83.185,0,top
C24,0.1uF,C_0402_1005Metric,140.226428,-102.346,180,top
C25,22uF_1206,C_1206_3216Metric,87.648428,-81.899,90,top
C26,22uF_1206,C_1206_3216Metric,85.235428,-81.899,90,top
C27,22uF_1206,C_1206_3216Metric,92.474428,-81.899,90,top
C28,22uF_1206,C_1206_3216Metric,90.061428,-81.899,90,top
C31,0.47uF,C_0805_2012Metric,91.059,-90.424,180,top
C32,10uF,C_0805_2012Metric,50.691428,-87.614,180,top
C33,10uF,C_0805_2012Metric,50.691428,-85.582,180,top
C34,10uF,C_0805_2012Metric,50.691428,-83.55,180,top
C35,10uF,C_0805_2012Metric,50.691428,-81.518,180,top
C36,0.1uF,C_0402_1005Metric,45.611428,-95.869,270,top
C37,2.2uF,C_0603_1608Metric,125.748428,-94.218,90,top
C38,0.1uF,C_0402_1005Metric,127.145428,-94.361,90,top
C39,2.2uF,C_0603_1608Metric,125.367428,-99.679,270,top
C40,2.2uF,C_0603_1608Metric,127.018428,-99.679,270,top
C41,2.7pF,C_0402_1005Metric,165.862,-98.298,0,top
C42,2pF,C_0402_1005Metric,165.811,-101.346,0,top
D1,ESD7951ST5G,D_SOD-923,148.240128,-97.266,0,top
D2,ESD7951ST5G,D_SOD-923,146.6215,-97.266,180,top
D3,ESD12VD3-TP,D_SOD-323,50.818428,-89.9,180,top
F1,C1F_7,Fuse_1206_3216Metric,64.026428,-93.583,270,top
L1,LQG15HS2N7S02D,L_0402_1005Metric,165.354,-99.822,270,top
LED1,SML-D12P8WT86,LED_0603_1608Metric,156.337,-81.026,0,top
LED2,SML-D12U1WT86,LED_0603_1608Metric,156.337,-82.677,0,top
LED3,SML-D12P8WT86,LED_0603_1608Metric,95.631,-99.187,90,top
LED4,SML-D12P8WT86,LED_0603_1608Metric,60.470428,-79.74,180,top
LED5,SML-D12P8WT86,LED_0603_1608Metric,131.844428,-103.108,0,top
Q1,"BC846W,115",SOT-323_SC-70,172.085,-99.441,0,top
Q2,"BC846W,115",SOT-323_SC-70,172.085,-102.235,0,top
Q3,SI3469DV-T1-E3,TSOT-23-6,64.026428,-89.265,180,top
