"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\RaquelSecretProject\MainControllerBoard\RaquelSecretProject.sch"
"Date:","1/8/2022 8:56:27 PM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","113"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number"
"C1, C2, C3, C37, C39, C40, ","6","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND"
"C4, C5, C6, C7, C8, C13, C14, C19, C23, C24, C36, C38, ","12","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND"
"C9, C10, C11, C12, ","4","22uF","22uF","CAP CER 22UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1274-1-ND"
"C15, ","1","1uF","1uF","CAP CER 1UF 10V X5R 0402","Samsung Electro-Mechanics","1276-1076-1-ND"
"C16, C17, ","2","0.01uF","0.01uF","CAP CER 10000PF 16V X5R 0402","KYOCERA AVX","478-0402YD103KAT2ACT-ND"
"C18, ","1","4.7uF","4.7uF","CAP CER 4.7UF 16V X5R 0603","Samsung Electro-Mechanics","1276-1784-1-ND"
"C20, C21, C22, C32, C33, C34, C35, ","7","10uF","10uF","CAP CER 10UF 16V X5R 0805","Samsung Electro-Mechanics","1276-2893-1-ND"
"C25, C26, C27, C28, ","4","22uF_1206","22uF_1206","CAP CER 22UF 25V X5R 1206","Samsung Electro-Mechanics","1276-3047-1-ND"
"C29, C30, ","2","270uF","270uF","CAP ALUM POLY 270UF 20% 16V SMD","Panasonic Electronic Components","PCE5081CT-ND"
"C31, ","1","0.47uF","0.47uF","CAP CER 0.47UF 25V X7R 0805","Samsung Electro-Mechanics","1276-1074-1-ND"
"C41, ","1","2.7pF","2.7pF","CAP CER 2.7PF 50V C0G/NPO 0402","YAGEO","311-1005-1-ND"
"C42, ","1","2pF","2pF","CAP CER 2PF 50V C0G/NPO 0402","YAGEO","311-1006-1-ND"
"CN1, ","1","1909763-1","1909763-1","CONN UMCC JACK STR 50OHM SMD","TE Connectivity AMP Connectors","A118077CT-ND"
"CN2, ","1","USB4110-GF-A_REVB","USB4110-GF-A_REVB","SMD USB 2.0-only Type-C Receptacle connector","GCT","2073-USB4110-GF-A-1-ND"
"CN3, ","1","0436500603","0436500603","Microfit CONN HEADER R/A 6POS 3MM","Molex","WM1874-ND"
"D1, D2, ","2","ESD7951ST5G","ESD7951ST5G","TVS DIODE 5VWM 12.9VC SOD923","onsemi","ESD7951ST5GOSCT-ND"
"D3, ","1","ESD12VD3-TP","ESD12VD3-TP","TVS DIODE 12VWM 33VC SOD323","Micro Commercial Co","ESD12VD3-TPMSCT-ND"
"F1, ","1","C1F_7","C1F_7","FUSE 7.0A 125VAC FAST 1206","Bel Fuse Inc.","507-1888-1-ND"
"H1, H2, ","2","MountingHole","MountingHole","Mounting Hole without connection","",""
"J1, ","1","Conn_01x04","Conn_01x04","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2, ","1","PJ-080BH","PJ-080BH","CONN PWR JACK 2.5X5.5MM SOLDER","CUI Devices","CP-080BHCT-ND"
"L1, ","1","LQG15HS2N7S02D","LQG15HS2N7S02D","FIXED IND 2.7NH 800MA 150MOHM SM","Murata Electronics","490-2615-1-ND"
"LED1, LED3, LED4, LED5, ","4","SML-D12P8WT86","SML-D12P8WT86","LED GREEN DIFFUSED 0603 SMD","Rohm Semiconductor","511-1579-1-ND"
"LED2, ","1","SML-D12U1WT86","SML-D12U1WT86","LED RED DIFFUSED 0603 SMD","Rohm Semiconductor","SML-D12U1WT86CT-ND"
"Q1, Q2, ","2","BC846W,115","BC846W,115","TRANS NPN 65V 100MA SOT323","Nexperia USA Inc.","1727-4850-1-ND"
"Q3, ","1","SI3469DV-T1-E3","SI3469DV-T1-E3","MOSFET P-CH 20V 5A 6TSOP","Vishay Siliconix","SI3469DV-T1-E3CT-ND"
"Q4, ","1","DMN67D8LW-13","DMN67D8LW-13","MOSFET N-CH 60V 240MA SOT323","Diodes Incorporated","DMN67D8LW-13DICT-ND"
"R1, R2, R16, R17, ","4","0","0","RES 0 OHM JUMPER 1/16W 0402","Stackpole Electronics Inc","RMCF0402ZT0R00CT-ND"
"R3, R4, R8, R9, R10, R12, R13, ","7","10k","10k","RES 10K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT10K0CT-ND"
"R5, R6, R7, R11, ","4","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND"
"R14, R15, ","2","5.1k","5.1k","RES 5.1K OHM 1% 1/16W 0402","YAGEO","311-5.10KLRCT-ND"
"R18, R19, R20, R28, R30, ","5","330","330","RES 330 OHM 1% 1/16W 0402","YAGEO","311-330LRCT-ND"
"R21, ","1","820","820","RES 820 OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT820RCT-ND"
"R22, R27, R29, ","3","100k","100k","RES SMD 100 KOHM 1% 1/16W 0402","Delta Electronics/Cyntec","2037-PFR05S-104-FNHCT-ND"
"R23, ","1","5.62k","5.62k","RES 5.62K OHM 1% 1/8W 0805","Stackpole Electronics Inc","RMCF0805FT5K62CT-ND"
"R24, ","1","22k","22k","RES SMD 22K OHM 1% 1/16W 0402","Bourns Inc.","CR0402-FX-2202GLFCT-ND"
"R25, ","1","1.07k","1.07k","RES 1.07K OHM 1% 1/8W 0805","YAGEO","311-1.07KCRCT-ND"
"R26, ","1","3k","3k","RES 3K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT3K00CT-ND"
"SW1, SW2, SW3, SW4, ","4","FSM2JSMAA","FSM2JSMAA","SMD Momentary PushButton","FSM2JSMAA","450-3355-ND"
"SW5, ","1","PEC11R-4020F-S0024","PEC11R-4020F-S0024","ROTARY ENCODER MECHANICAL 24PPR","Bourns Inc.","PEC11R-4020F-S0024-ND"
"SW6, ","1","PB400EEQR1BLK","PB400EEQR1BLK","Pushbutton Switch DPST Standard Through Hole, Right Angle","E-Switch","Ologic"
"TP1, ","1","3V3","TestPoint","test point","",""
"TP2, ","1","5V","TestPoint","test point","",""
"TP3, ","1","12V","TestPoint","test point","",""
"TP4, ","1","GND","TestPoint","test point","",""
"TP5, ","1","DATA","TestPoint","test point","",""
"TP6, ","1","CLK","TestPoint","test point","",""
"TP7, ","1","IO22","TestPoint","test point","",""
"TP8, ","1","IO23","TestPoint","test point","",""
"TP9, ","1","IO5","TestPoint","test point","",""
"TP10, ","1","FT232_3V3","TestPoint","test point","",""
"U1, ","1","ESP32-PICO-D4","ESP32-PICO-D4","","Espressif Systems","1904-1029-1-ND"
"U2, ","1","FT232RL","FT232RL","USB to Serial Interface, SSOP-28","Ologic","Ologic"
"U3, ","1","LMZ13610","LMZ13610","DC DC CONVERTER 0.8-6V 50W","Texas Instruments","Ologic"
"U4, ","1","MCP1826T-3302E_DC","MCP1826T-3302E_DC","IC REG LINEAR 3.3V 1A SOT223-5","Microchip Technology","Ologic"
